Id;Genre;Probabilities
JXxf5HZCHME;Autos & Vehicles; {'2': 0.7, '27': 0.1, '22': 0.2}
aKyifzIesDM;Autos & Vehicles; {'19': 0.1, '2': 0.6, '23': 0.1, '26': 0.2}
7JCfEMrCjhc;Howto & Style; {'26': 0.4, '2': 0.30000000000000004, '27': 0.30000000000000004}
kXixnwySCh8;Howto & Style; {'26': 0.7999999999999999, '22': 0.1, '2': 0.1}
9pZVWmrCw20;Entertainment; {'24': 0.30000000000000004, '2': 0.5, '10': 0.1, '22': 0.1}
76xRkWhCbe8;Education; {'27': 0.5, '28': 0.5}
z70JUwvjMd4;Autos & Vehicles; {'2': 0.95, '22': 0.05}
Xod-ByrxHg4;Education; {'2': 0.25, '27': 0.5, '26': 0.15000000000000002, '28': 0.1}
TcSa9_FLVMo;Science & Technology; {'2': 0.4, '28': 0.6}
eOcZwr-1Y1E;Autos & Vehicles; {'2': 0.75, '27': 0.1, '26': 0.15000000000000002}
tg4nN1wZ7YI;Autos & Vehicles; {'2': 0.6, '26': 0.1, '22': 0.2, '27': 0.1}
EhGXSM3MZEQ;Howto & Style; {'26': 0.6, '2': 0.30000000000000004, '28': 0.1}
1bHLTv3O3u0;Howto & Style; {'28': 0.2, '22': 0.30000000000000004, '26': 0.4, '24': 0.1}
N535pPZKv4k;Howto & Style; {'2': 0.7999999999999999, '26': 0.2}
IGuc06GMwG4;Howto & Style; {'26': 0.30000000000000004, '2': 0.5, '22': 0.2}
J1liRlo4FjU;Autos & Vehicles; {'2': 0.7, '26': 0.2, '22': 0.1}
OUhDl-ze-sI;People & Blogs; {'2': 0.7, '22': 0.2, '27': 0.1}
Gldg_sC3TXE;Education; {'27': 0.6, '28': 0.2, '24': 0.1, '26': 0.1}
QhpOg186fks;Science & Technology; {'27': 0.1, '28': 0.4, '2': 0.2, '26': 0.2, '24': 0.1}
4BWF8FCOjsU;People & Blogs; {'17': 0.30000000000000004, '27': 0.1, '24': 0.1, '22': 0.2, '28': 0.1, '25': 0.1, '26': 0.1}
-24Kv_fnOHc;Howto & Style; {'26': 0.30000000000000004, '2': 0.6, '24': 0.1}
pvIjts829Hk;Howto & Style; {'26': 0.8999999999999999, '2': 0.1}
U0MIPX7reTs;Autos & Vehicles; {'2': 0.6, '26': 0.30000000000000004, '28': 0.1}
rZTabDT0qWE;Howto & Style; {'26': 0.4, '28': 0.5, '22': 0.1}
xjnF5WfPaTQ;People & Blogs; {'26': 0.7, '19': 0.1, '24': 0.2}
AcYo51uYkIU;People & Blogs; {'28': 0.2, '22': 0.4, '26': 0.2, '2': 0.1, '24': 0.1}
sykjB7fS1Po;Science & Technology; {'28': 0.5, '26': 0.4, '27': 0.1}
v96LTfmtDPU;Howto & Style; {'26': 0.30000000000000004, '22': 0.1, '28': 0.4, '27': 0.1, '2': 0.1}
DMX7_wnBpa4;Science & Technology; {'28': 0.5, '22': 0.2, '2': 0.2, '24': 0.1}
RnrBNByvCVQ;Howto & Style; {'26': 0.625, '22': 0.025, '2': 0.2, '27': 0.15000000000000002}
mwX6qLIoj3s;Science & Technology; {'26': 0.30000000000000004, '10': 0.1, '28': 0.6}
uZWaaTnPyhE;Autos & Vehicles; {'26': 0.5, '2': 0.5}
lT_g8lPi-Zs;Education; {'27': 0.7, '24': 0.1, '28': 0.1, '22': 0.1}
OuVCiiFopGg;Autos & Vehicles; {'22': 0.2, '2': 0.7, '27': 0.1}
P9XDOHOwFdI;Howto & Style; {'28': 0.6, '2': 0.1, '17': 0.1, '27': 0.1, '26': 0.1}
akAoznYEzts;Howto & Style; {'26': 0.30000000000000004, '22': 0.1, '24': 0.1, '28': 0.30000000000000004, '2': 0.1, '27': 0.1}
LGQ7JKpMIs0;People & Blogs; {'2': 0.4, '26': 0.30000000000000004, '28': 0.1, '22': 0.1, '27': 0.1}
XE3jGyqquqg;Education; {'27': 0.2, '28': 0.5, '26': 0.1, '2': 0.1, '22': 0.1}
CgyzaQlrUFI;Education; {'27': 0.7, '28': 0.1, '2': 0.1, '23': 0.1}
XVTn6wI4g6s;Howto & Style; {'26': 0.6, '22': 0.05, '28': 0.1, '2': 0.25}
4B4A2Sq5qZo;People & Blogs; {'26': 0.30000000000000004, '2': 0.30000000000000004, '22': 0.30000000000000004, '28': 0.1}
h88dytFyqAk;Science & Technology; {'28': 0.8999999999999999, '24': 0.1}
WDOWPekMX44;Howto & Style; {'17': 0.2, '26': 0.35000000000000003, '2': 0.2, '22': 0.1, '28': 0.15000000000000002}
u1G3FeFjbnM;Autos & Vehicles; {'26': 0.1, '2': 0.7, '22': 0.1, '28': 0.1}
TCR_2TFL_e0;Howto & Style; {'26': 0.7, '2': 0.2, '22': 0.1}
c9Z3iiu6z5Y;Education; {'27': 0.6, '24': 0.1, '28': 0.1, '26': 0.2}
96ldhoCzTaE;Autos & Vehicles; {'2': 0.7999999999999999, '26': 0.2}
_KP8JsEZLNo;Education; {'2': 0.4, '27': 0.1, '26': 0.30000000000000004, '28': 0.1, '22': 0.1}
ZOYHr1A3J-I;Education; {'27': 0.6, '28': 0.15000000000000002, '22': 0.1, '24': 0.05, '25': 0.05, '26': 0.05}
O14JR16B6F4;Science & Technology; {'28': 0.7999999999999999, '26': 0.1, '2': 0.1}
tdbTy9aoGt8;Autos & Vehicles; {'2': 0.5, '28': 0.30000000000000004, '22': 0.2}
PmOubpqZPdo;Autos & Vehicles; {'2': 0.7999999999999999, '22': 0.1, '26': 0.05, '28': 0.05}
C4x8Q_8jPy0;Science & Technology; {'28': 0.5, '26': 0.1, '24': 0.2, '2': 0.1, '27': 0.1}
i3n_KJF3epg;Autos & Vehicles; {'2': 0.6, '26': 0.1, '22': 0.2, '27': 0.1}
VuZ4oczkAhI;Autos & Vehicles; {'2': 0.7999999999999999, '27': 0.1, '28': 0.1}
ZHr8uqUT4bA;Education; {'28': 0.1, '27': 0.4, '26': 0.30000000000000004, '2': 0.2}
In6VqiHL7rM;Science & Technology; {'28': 0.5, '27': 0.30000000000000004, '25': 0.1, '22': 0.1}
Tc96911EBXI;Science & Technology; {'27': 0.1, '2': 0.2, '17': 0.2, '28': 0.1, '24': 0.2, '22': 0.1, '26': 0.1}
BUpipPJUKQ0;Autos & Vehicles; {'2': 0.7999999999999999, '24': 0.1, '26': 0.1}
CiBQyAOyTw0;People & Blogs; {'22': 0.30000000000000004, '28': 0.30000000000000004, '2': 0.30000000000000004, '26': 0.1}
oPgeZX46QTE;Autos & Vehicles; {'2': 0.8999999999999999, '26': 0.1}
af-W4pI8yQ8;People & Blogs; {'22': 0.1, '28': 0.30000000000000004, '26': 0.4, '24': 0.2}
umqKto5KIwQ;Autos & Vehicles; {'26': 0.4, '2': 0.30000000000000004, '22': 0.1, '28': 0.1, '27': 0.1}
S0ECpN8Wvug;Autos & Vehicles; {'2': 0.7666666666666666, '26': 0.13333333333333333, '28': 0.03333333333333333, '27': 0.03333333333333333, '24': 0.03333333333333333}
t7YSCq6pZ60;People & Blogs; {'22': 0.5, '2': 0.4, '26': 0.1}
nq3GViZ5KvU;Education; {'27': 0.6, '28': 0.30000000000000004, '2': 0.1}
zOOrhYg5tcQ;Comedy; {'28': 0.6, '26': 0.1, '27': 0.30000000000000004}
VUzxuV_yUXs;Autos & Vehicles; {'2': 0.75, '24': 0.1, '26': 0.15000000000000002}
ZdigwBNKFfI;Howto & Style; {'26': 0.7, '2': 0.30000000000000004}
XwGroFmWUUc;Howto & Style; {'26': 0.3666666666666667, '2': 0.4666666666666666, '28': 0.10000000000000002, '27': 0.03333333333333333, '24': 0.03333333333333333}
hYJ_W-Jl1o0;Autos & Vehicles; {'2': 0.7, '26': 0.2, '19': 0.05, '10': 0.05}
oWkvqRM7ZmQ;Howto & Style; {'26': 0.6, '2': 0.4}
8cSO1j6jHo8;People & Blogs; {'28': 0.4, '26': 0.2, '22': 0.2, '2': 0.2}
bf1uryf8K50;Education; {'27': 0.6, '28': 0.4}
tnJMDtZelms;Science & Technology; {'28': 0.7999999999999999, '26': 0.2}
GWyHJVOxKK4;Science & Technology; {'28': 0.7999999999999999, '26': 0.1, '22': 0.1}
oJ3BrlOqpIg;Science & Technology; {'28': 0.2, '2': 0.30000000000000004, '26': 0.2, '24': 0.1, '22': 0.2}
Or-eDOmcJs0;Science & Technology; {'28': 0.30000000000000004, '26': 0.35000000000000003, '27': 0.35000000000000003}
TZFEqJ_s1gE;Travel & Events; {'22': 0.30000000000000004, '27': 0.1, '2': 0.5, '26': 0.1}
V-dzvdeYGsg;Autos & Vehicles; {'26': 0.30000000000000004, '2': 0.5, '28': 0.1, '22': 0.1}
0enRXbhzW6U;Howto & Style; {'26': 0.5, '2': 0.30000000000000004, '27': 0.2}
MPv0zz6r6w0;Education; {'27': 0.7, '28': 0.2, '24': 0.1}
DwWMt7guVOc;Education; {'27': 0.7, '2': 0.1, '28': 0.1, '26': 0.1}
1UnP8Vr3d_Q;Science & Technology; {'26': 0.30000000000000004, '28': 0.7}
muK1iC8QBCE;Education; {'27': 0.35, '28': 0.55, '24': 0.1}
8fxygSnVWos;Howto & Style; {'26': 0.6, '28': 0.2, '24': 0.1, '22': 0.1}
UPUeACI6HfI;People & Blogs; {'22': 0.30000000000000004, '26': 0.4, '28': 0.30000000000000004}
wVz9qjcDlFI;Science & Technology; {'28': 0.6, '27': 0.1, '2': 0.1, '24': 0.1, '22': 0.1}
vPnEr4HIXBY;Autos & Vehicles; {'22': 0.1, '26': 0.6, '28': 0.1, '2': 0.1, '27': 0.1}
MUQghpUVohU;Autos & Vehicles; {'26': 0.30000000000000004, '2': 0.4, '22': 0.1, '28': 0.2}
uX0jA4258Jw;Howto & Style; {'26': 0.5, '27': 0.2, '28': 0.2, '22': 0.1}
cEn1_wJu_ME;Autos & Vehicles; {'2': 0.9999999999999999}
YeTNXbDbHcM;Autos & Vehicles; {'28': 0.7999999999999999, '26': 0.2}
S_An0kxRgpQ;Autos & Vehicles; {'26': 0.5, '2': 0.4, '28': 0.1}
IzduK-zQvnU;Autos & Vehicles; {'2': 0.5, '22': 0.2, '24': 0.2, '28': 0.1}
golDgNo4TbI;Autos & Vehicles; {'2': 0.7999999999999999, '27': 0.1, '26': 0.1}
9Dl5J9b8GBw;Education; {'27': 0.5, '28': 0.30000000000000004, '26': 0.1, '22': 0.1}
RIJ26DrbI2U;Education; {'28': 0.30000000000000004, '27': 0.6, '24': 0.1}
dJfkCj3FWBs;Howto & Style; {'2': 0.4, '26': 0.2, '28': 0.2, '22': 0.1, '27': 0.1}
